---config@允许编辑=是
---config@码表分类=主码-次显码表
---config@码表别名=罕用字·繁体字

#罕用字
圫	yutq#序8897
艅	yuvh#序8896
玙	yuwa#序8895
敔	yuww#序8894
蕰	yycm#序8893
涢	yydb#序8892
沄	yyds#序8891
缊	yysm#序8890
槱	yzmh#序8889
耰	yzmy#序8888
蹧	zczo#序8887
䎖	zgby#序8886
虸	ziiz#序8885
嗞	zikd#序8884
寁	zjbr#序8883
岞	zoea#序8882
倧	zsrx#序8881
崒	zuei#序8880

#与简体不同的繁体字
耬	lzl
耮	lcl
聖	uge
聞	wfm
聯	lme
聰	cse
聲	uge
聳	sse
聴	tke
聵	kve
聶	npe
職	vie
聹	nke
聽	tkk
聾	lse
肅	suv
脅	xpl
脇	xpo
脈	mdo
脈	moo
脛	jko
脣	iyo
脫	too
脳	nco
脹	vho
腎	ufo
腖	dso
腡	loo
腦	nco
腫	vso
腳	jno
腸	iho
膃	wao
膚	fuo
膠	jno
膩	nio
膽	djo
膾	kko
膿	nso
臉	lmo
臍	qio
臏	bbo
臓	zho
臘	lao
臘	xio
臚	luo
臠	lrw
臢	zao
臥	wok
臨	lbk
臺	tdu
與	yup
興	xkb
舉	jup
舊	jqc
舎	uer
舗	pur
#check here
艙	chv
艤	yiv
艦	jmv
艫	luv
艱	jmy
艶	yja
芻	iud
苧	nkc
苧	vuc
茲	ciq
茲	ziq
荊	jkd
荘	vlc
莊	vlg
莖	jkc
莢	jxc
莧	xmc
菓	goc
華	hxu
萇	ihc
萊	ldc
萬	wja
萵	woc
葉	xpk
葉	yek
葒	hsc
葤	vzc
葦	wwc
葷	hyc
蒔	uic
蒞	lic
蒼	chc
蓀	syc
蓋	gdm
蓮	lmc
蓯	csc
蓴	iyc
蓽	bic
蔞	lzc
蔣	jlc
蔥	csc
蔦	nnc
蔭	ybc
蔵	chc
蕁	qmc
蕁	xyc
蕆	ijc
蕎	qnc
蕒	mdc
蕕	yzc
蕘	rcc
蕢	kkc
蕢	kvc
蕩	dhc
蕪	wuc
蕭	xnc
蕷	yuc
薈	hvc
薊	jic
薌	xlc
薔	qlc
薘	dac
薟	lmc
薟	xmc
薦	jmc
薩	sac
薫	xyc
薬	ycc
薺	jic
薺	qic
藍	ljc
藎	jbc
藝	yic
藥	ycc
藪	szc
藶	lic
藹	aic
藺	lbc
蘄	qic
蘆	luc
蘇	suc
蘊	yyc
蘋	pgc
蘋	pkc
蘚	xmc
蘞	lmc
蘢	lsc
蘭	ljq
蘺	lic
蘿	loc
處	iuw
虛	xuh
虜	luh
號	hck
虧	kve
虯	qqi
蛍	ykx
蛺	jxi
蛻	tvi
蜆	xmi
蝕	uiu
蝟	wwq
蝦	xxi
蝸	woi
螄	sii
螞	mai
螢	ykc
螻	lzi
蟄	vei
蟈	goi
蟎	mji
蟣	jii
蟬	iji
蟯	nci
蟲	isa
蟶	igi
蟻	yii
